"trace","algo","frames","disk_reads","disk_writes","fault_rate"
"bzip","clock","8","46164","17568","0.0462"
"bzip","clock","12","4126","1273","0.0041"
"bzip","clock","16","3468","1128","0.0035"
"bzip","clock","24","2917","980","0.0029"
"bzip","clock","32","2203","734","0.0022"
"bzip","clock","48","1557","540","0.0016"
"bzip","clock","64","1318","443","0.0013"
"bzip","clock","96","976","324","0.001"
"bzip","clock","128","802","235","0.0008"
"bzip","clock","192","555","133","0.0006"
"bzip","clock","256","432","71","0.0004"
"gcc","clock","8","181856","29401","0.1819"
"gcc","clock","12","142502","20050","0.1425"
"gcc","clock","16","121682","16376","0.1217"
"gcc","clock","24","100413","13589","0.1004"
"gcc","clock","32","87686","12293","0.0877"
"gcc","clock","48","71639","10632","0.0716"
"gcc","clock","64","61640","9346","0.0616"
"gcc","clock","96","48641","7552","0.0486"
"gcc","clock","128","43017","6671","0.043"
"gcc","clock","192","32647","5281","0.0326"
"gcc","clock","256","26789","4528","0.0268"
"sixpack","clock","8","191760","40261","0.1918"
"sixpack","clock","12","143122","26638","0.1431"
"sixpack","clock","16","115206","20951","0.1152"
"sixpack","clock","24","85324","16603","0.0853"
"sixpack","clock","32","70849","14432","0.0708"
"sixpack","clock","48","56243","11490","0.0562"
"sixpack","clock","64","41949","9947","0.0419"
"sixpack","clock","96","28219","8443","0.0282"
"sixpack","clock","128","23229","7226","0.0232"
"sixpack","clock","192","14958","5146","0.015"
"sixpack","clock","256","11876","4319","0.0119"
"swim","clock","8","293519","54327","0.2935"
"swim","clock","12","236445","53183","0.2364"
"swim","clock","16","191848","48350","0.1918"
"swim","clock","24","89297","21027","0.0893"
"swim","clock","32","53025","11140","0.053"
"swim","clock","48","31017","7193","0.031"
"swim","clock","64","22611","5844","0.0226"
"swim","clock","96","17594","4916","0.0176"
"swim","clock","128","15275","4371","0.0153"
"swim","clock","192","8367","2633","0.0084"
"swim","clock","256","5980","1973","0.006"
